k,group,mean_risk,std_risk,mean_delta_risk,std_delta_risk,n,condition
0,0,0.5256154300677621,0.029600863720749923,-5.551115123125783e-20,1.178145479918142e-17,1000,actual
0,1,0.5081140214867577,0.03746583861873964,-1.6653345369377348e-19,1.5609403096992275e-17,1000,actual
1,0,0.49915353268120144,0.01677464079798536,-0.02646189738656065,0.016040816358033876,1000,actual
1,1,0.4869783411723477,0.026066863170914514,-0.02113568031441,0.01573556650087089,1000,actual
2,0,0.4904856398217434,0.016752970179782938,-0.0351297902460187,0.01604997294395669,1000,actual
2,1,0.478333715196876,0.0259960252912411,-0.029780306289881636,0.01576148457891684,1000,actual
3,0,0.4818234394248611,0.016721343780427157,-0.04379199064290095,0.016065482616783963,1000,actual
3,1,0.469701941036876,0.025910120436947997,-0.03841208044988165,0.01579682601935037,1000,actual
4,0,0.47317212039244916,0.01667983638330002,-0.052443309675312966,0.016087348210868286,1000,actual
4,1,0.46108813626011735,0.02580934700327457,-0.047025885226640286,0.015841685760219482,1000,actual
5,0,0.4645368456615493,0.016628545898544914,-0.061078584406212784,0.016115567472527223,1000,actual
5,1,0.45249737613477137,0.025693936706757476,-0.05561664535198628,0.01589615613173011,1000,actual
6,0,0.45592273994201027,0.01656759287607321,-0.06969269012575188,0.01615013247992826,1000,actual
6,1,0.4439346817978209,0.025564153470903617,-0.06417933968893672,0.0159603237140821,1000,actual
7,0,0.44733487764684843,0.01649711990886716,-0.07828055242091364,0.01619102898627698,1000,actual
7,1,0.43540500869133547,0.025420292166205217,-0.07270901279542216,0.016034266046371294,1000,actual
8,0,0.438778271075204,0.016417290931602234,-0.08683715899255809,0.016238235705236706,1000,actual
8,1,0.4269132353223113,0.025262677214641892,-0.08120078616444637,0.01611804827607824,1000,actual
9,0,0.4302578589056149,0.01632829042044635,-0.09535757116214719,0.016291723559488512,1000,actual
9,1,0.418464152399069,0.025091661069781678,-0.08964986908768872,0.016211719840533965,1000,actual
10,0,0.42177849505469484,0.016230322500653746,-0.10383693501306729,0.016351454914657525,1000,actual
10,1,0.4100624523940723,0.02490762258442931,-0.09805156909268532,0.01631531127047646,1000,actual
0,0,0.5486279751732085,0.0075384348119968666,0.0,0.0,1000,controlled
0,1,0.5457577144109006,0.0075695732570149315,0.0,0.0,1000,controlled
1,0,0.5077146161386233,0.007608506388355228,-0.04091335903458516,7.137332146958654e-05,1000,controlled
1,1,0.5048190723977839,0.0076317805268453715,-0.04093864201311664,6.356026520285564e-05,1000,controlled
2,0,0.4990384490392211,0.0076102748218923565,-0.0495895261339874,7.369906073538325e-05,1000,controlled
2,1,0.49614252936474634,0.0076318258020329835,-0.04961518504615419,6.422845100299746e-05,1000,controlled
3,0,0.4903628608146545,0.007607462854801225,-0.05826511435855395,7.168161614920726e-05,1000,controlled
3,1,0.4874683083944702,0.007627278378346244,-0.05828940601643038,6.061834508862029e-05,1000,controlled
4,0,0.4816930722960913,0.007600077250408482,-0.06693490287711722,6.551403776133075e-05,1000,controlled
4,1,0.47880162702903173,0.007618149190553125,-0.06695608738186883,5.304586502090752e-05,1000,controlled
5,0,0.4730342903671868,0.007588135754481622,-0.07559368480602166,5.565172581466075e-05,1000,controlled
5,1,0.4701476846862133,0.00760446016174315,-0.07561002972468725,4.237046054602776e-05,1000,controlled
6,0,0.46439169548061804,0.007571667004763354,-0.08423627969259047,4.337260635786894e-05,1000,controlled
6,1,0.46151165021409774,0.007586244091649409,-0.08424606419680278,3.152635559816616e-05,1000,controlled
7,0,0.4557704293092544,0.0075507103853561216,-0.09285754586395412,3.304606939834505e-05,1000,controlled
7,1,0.4528986496012355,0.007563544490068924,-0.09285906480966505,3.005909082001576e-05,1000,controlled
8,0,0.44717558259424317,0.007525315827224137,-0.10145239257896536,3.594483779496642e-05,1000,controlled
8,1,0.44431375390414585,0.007536415356829592,-0.10144396050675465,4.615852904382364e-05,1000,controlled
9,0,0.4386121832505726,0.007495543556542056,-0.1100157919226359,5.6137694444030114e-05,1000,controlled
9,1,0.43576196745203055,0.007504920910205797,-0.10999574695887002,7.339690857838215e-05,1000,controlled
10,0,0.43008518478845353,0.0074614637930553555,-0.11854279038475495,8.625921055673236e-05,1000,controlled
10,1,0.4272482163861849,0.007469135266114109,-0.11850949802471568,0.00010715539753673376,1000,controlled
